id,level,code,name
__export__.account_hierarchy_label_255,3,201.02,Proveedores extranjeros
__export__.account_hierarchy_label_256,3,201.03,Proveedores nacionales parte relacionada
__export__.account_hierarchy_label_257,3,201.04,Proveedores extranjeros parte relacionada
__export__.account_hierarchy_label_258,2,202,Cuentas por pagar a corto plazo
__export__.account_hierarchy_label_259,3,202.01,Documentos por pagar bancario y financiero nacional
__export__.account_hierarchy_label_260,3,202.02,Documentos por pagar bancario y financiero extranjero
__export__.account_hierarchy_label_261,3,202.03,Documentos y cuentas por pagar a corto plazo nacional
__export__.account_hierarchy_label_262,3,202.04,Documentos y cuentas por pagar a corto plazo extranjero
__export__.account_hierarchy_label_263,3,202.05,Documentos y cuentas por pagar a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_264,3,202.06,Documentos y cuentas por pagar a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_265,3,202.07,Intereses por pagar a corto plazo nacional
__export__.account_hierarchy_label_266,3,202.08,Intereses por pagar a corto plazo extranjero
__export__.account_hierarchy_label_267,3,202.09,Intereses por pagar a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_268,3,202.1,Intereses por pagar a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_269,3,202.11,Dividendo por pagar nacional
__export__.account_hierarchy_label_270,3,202.12,Dividendo por pagar extranjero
__export__.account_hierarchy_label_271,2,203,Cobros anticipados a corto plazo
__export__.account_hierarchy_label_272,3,203.01,Rentas cobradas por anticipado a corto plazo nacional
__export__.account_hierarchy_label_273,3,203.02,Rentas cobradas por anticipado a corto plazo extranjero
__export__.account_hierarchy_label_274,3,203.03,Rentas cobradas por anticipado a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_275,3,203.04,Rentas cobradas por anticipado a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_276,3,203.05,Intereses cobrados por anticipado a corto plazo nacional
__export__.account_hierarchy_label_277,3,203.06,Intereses cobrados por anticipado a corto plazo extranjero
__export__.account_hierarchy_label_278,3,203.07,Intereses cobrados por anticipado a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_279,3,203.08,Intereses cobrados por anticipado a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_280,3,203.09,Factoraje financiero cobrados por anticipado a corto plazo nacional
__export__.account_hierarchy_label_281,3,203.10,Factoraje financiero cobrados por anticipado a corto plazo extranjero
__export__.account_hierarchy_label_282,3,203.11,Factoraje financiero cobrados por anticipado a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_283,3,203.12,Factoraje financiero cobrados por anticipado a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_284,3,203.13,Arrendamiento financiero cobrados por anticipado a corto plazo nacional
__export__.account_hierarchy_label_285,3,203.14,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero
__export__.account_hierarchy_label_286,3,203.15,Arrendamiento financiero cobrados por anticipado a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_287,3,203.16,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_288,3,203.17,Derechos fiduciarios
__export__.account_hierarchy_label_289,3,203.18,Otros cobros anticipados
__export__.account_hierarchy_label_290,2,204,Instrumentos financieros a corto plazo
__export__.account_hierarchy_label_291,3,204.01,Instrumentos financieros a corto plazo
__export__.account_hierarchy_label_292,2,205,Acreedores diversos a corto plazo
__export__.account_hierarchy_label_293,3,205.01,"Socios, accionistas o representante legal"
__export__.account_hierarchy_label_294,3,205.02,Acreedores diversos a corto plazo nacional
__export__.account_hierarchy_label_295,3,205.03,Acreedores diversos a corto plazo extranjero
__export__.account_hierarchy_label_296,3,205.04,Acreedores diversos a corto plazo nacional parte relacionada
__export__.account_hierarchy_label_297,3,205.05,Acreedores diversos a corto plazo extranjero parte relacionada
__export__.account_hierarchy_label_298,3,205.06,Otros acreedores diversos a corto plazo
__export__.account_hierarchy_label_299,2,206,Anticipo de cliente
__export__.account_hierarchy_label_300,3,206.01,Anticipo de cliente nacional
__export__.account_hierarchy_label_301,3,206.02,Anticipo de cliente extranjero
__export__.account_hierarchy_label_302,3,206.03,Anticipo de cliente nacional parte relacionada
__export__.account_hierarchy_label_303,3,206.04,Anticipo de cliente extranjero parte relacionada
__export__.account_hierarchy_label_304,3,206.05,Otros anticipos de clientes
__export__.account_hierarchy_label_305,2,207,Impuestos trasladados
__export__.account_hierarchy_label_306,3,207.01,IVA trasladado
__export__.account_hierarchy_label_307,3,207.02,IEPS trasladado
__export__.account_hierarchy_label_308,2,208,Impuestos trasladados cobrados
__export__.account_hierarchy_label_309,3,208.01,IVA trasladado cobrado
__export__.account_hierarchy_label_310,3,208.02,IEPS trasladado cobrado
__export__.account_hierarchy_label_311,2,209,Impuestos trasladados no cobrados
__export__.account_hierarchy_label_312,3,209.01,IVA trasladado no cobrado
__export__.account_hierarchy_label_313,3,209.02,IEPS trasladado no cobrado
__export__.account_hierarchy_label_314,2,210,Provisión de sueldos y salarios por pagar
__export__.account_hierarchy_label_315,3,210.01,Provisión de sueldos y salarios por pagar
__export__.account_hierarchy_label_316,3,210.02,Provisión de vacaciones por pagar
__export__.account_hierarchy_label_317,3,210.03,Provisión de aguinaldo por pagar
__export__.account_hierarchy_label_318,3,210.04,Provisión de fondo de ahorro por pagar
__export__.account_hierarchy_label_319,3,210.05,Provisión de asimilados a salarios por pagar
__export__.account_hierarchy_label_320,3,210.06,Provisión de anticipos o remanentes por distribuir
__export__.account_hierarchy_label_321,3,210.07,Provisión de otros sueldos y salarios por pagar
__export__.account_hierarchy_label_322,2,211,Provisión de contribuciones de seguridad social por pagar
__export__.account_hierarchy_label_323,3,211.01,Provisión de IMSS patronal por pagar
__export__.account_hierarchy_label_324,3,211.02,Provisión de SAR por pagar
__export__.account_hierarchy_label_325,3,211.03,Provisión de infonavit por pagar
__export__.account_hierarchy_label_326,2,212,Provisión de impuesto estatal sobre nómina por pagar
__export__.account_hierarchy_label_327,3,212.01,Provisión de impuesto estatal sobre nómina por pagar
__export__.account_hierarchy_label_328,2,213,Impuestos y derechos por pagar
__export__.account_hierarchy_label_329,3,213.01,IVA por pagar
__export__.account_hierarchy_label_330,3,213.02,IEPS por pagar
__export__.account_hierarchy_label_331,3,213.03,ISR por pagar
__export__.account_hierarchy_label_332,3,213.04,Impuesto estatal sobre nómina por pagar
__export__.account_hierarchy_label_333,3,213.05,Impuesto estatal y municipal por pagar
__export__.account_hierarchy_label_334,3,213.06,Derechos por pagar
__export__.account_hierarchy_label_335,3,213.07,Otros impuestos por pagar
__export__.account_hierarchy_label_336,2,214,Dividendos por pagar
__export__.account_hierarchy_label_337,3,214.01,Dividendos por pagar
__export__.account_hierarchy_label_338,2,215,PTU por pagar
__export__.account_hierarchy_label_339,3,215.01,PTU por pagar
__export__.account_hierarchy_label_340,3,215.02,PTU por pagar de ejercicios anteriores
__export__.account_hierarchy_label_341,3,215.03,Provisión de PTU por pagar
__export__.account_hierarchy_label_342,2,216,Impuestos retenidos
__export__.account_hierarchy_label_343,3,216.01,Impuestos retenidos de ISR por sueldos y salarios
__export__.account_hierarchy_label_344,3,216.02,Impuestos retenidos de ISR por asimilados a salarios
__export__.account_hierarchy_label_345,3,216.03,Impuestos retenidos de ISR por arrendamiento
__export__.account_hierarchy_label_346,3,216.04,Impuestos retenidos de ISR por servicios profesionales
__export__.account_hierarchy_label_347,3,216.05,Impuestos retenidos de ISR por dividendos
__export__.account_hierarchy_label_348,3,216.06,Impuestos retenidos de ISR por intereses
__export__.account_hierarchy_label_349,3,216.07,Impuestos retenidos de ISR por pagos al extranjero
__export__.account_hierarchy_label_350,3,216.08,Impuestos retenidos de ISR por venta de acciones
__export__.account_hierarchy_label_351,3,216.09,Impuestos retenidos de ISR por venta de partes sociales
